# Matter power spectrum P(k) at redshift z=0
# for k=1.04545e-05 to 1.69273 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.917473658792e-01       3.412949668820e+02 
       4.949599934985e-01       3.366078371305e+02 
       4.981726212900e-01       3.320496694344e+02 
       5.013852492503e-01       3.276031633078e+02 
       5.045978773761e-01       3.232557025032e+02 
       5.078105056644e-01       3.189870267839e+02 
       5.110231341121e-01       3.148118632286e+02 
       5.142357627161e-01       3.107146609192e+02 
       5.174483914736e-01       3.066879933926e+02 
       5.206610203817e-01       3.027280684159e+02 
       5.238736494375e-01       2.988217748142e+02 
       5.270862786385e-01       2.949769758626e+02 
       5.302989079820e-01       2.911699641023e+02 
       5.335115374653e-01       2.874084802458e+02 
       5.367241670860e-01       2.837071065415e+02 
       5.399367968416e-01       2.800681025380e+02 
       5.431494267297e-01       2.764944017188e+02 
       5.463620567479e-01       2.729872798927e+02 
       5.495746868940e-01       2.695454695900e+02 
       5.527873171657e-01       2.661690958361e+02 
       5.559999475609e-01       2.628557113180e+02 
       5.592125780774e-01       2.596047527944e+02 
       5.624252087131e-01       2.564166256285e+02 
       5.656378394660e-01       2.532931494882e+02 
       5.688504703341e-01       2.502309758498e+02 
       5.720631013155e-01       2.472278512367e+02 
       5.752757324082e-01       2.442788741868e+02 
       5.784883636104e-01       2.413788015799e+02 
       5.817009949202e-01       2.385240557588e+02 
       5.849136263360e-01       2.357124815820e+02 
       5.881262578559e-01       2.329437590795e+02 
       5.913388894783e-01       2.302180983291e+02 
       5.945515212014e-01       2.275350880900e+02 
       5.977641530237e-01       2.248933892341e+02 
       6.009767849435e-01       2.222908050829e+02 
       6.041894169594e-01       2.197253628434e+02 
       6.074020490697e-01       2.171962259682e+02 
       6.106146812730e-01       2.147042329077e+02 
       6.138273135679e-01       2.122511594768e+02 
       6.170399459528e-01       2.098384512379e+02 
       6.202525784264e-01       2.074691498379e+02 
       6.234652109872e-01       2.051402969212e+02 
       6.266778436341e-01       2.028505328484e+02 
       6.298904763656e-01       2.005977694106e+02 
       6.331031091804e-01       1.983802583301e+02 
       6.363157420773e-01       1.961971715000e+02 
       6.395283750550e-01       1.940491955266e+02 
       6.427410081124e-01       1.919361254594e+02 
       6.459536412482e-01       1.898574931045e+02 
       6.491662744613e-01       1.878113491185e+02 
       6.523789077505e-01       1.857955173545e+02 
       6.555915411147e-01       1.838076463293e+02 
       6.588041745528e-01       1.818463626904e+02 
       6.620168080638e-01       1.799117231815e+02 
       6.652294416464e-01       1.780048287740e+02 
       6.684420752999e-01       1.761260666708e+02 
       6.716547090230e-01       1.742756967419e+02 
       6.748673428148e-01       1.724530697845e+02 
       6.780799766744e-01       1.706567038703e+02 
       6.812926106008e-01       1.688851092768e+02 
       6.845052445930e-01       1.671378352177e+02 
       6.877178786501e-01       1.654150534903e+02 
       6.909305127711e-01       1.637182230537e+02 
       6.941431469553e-01       1.620467535291e+02 
       6.973557812018e-01       1.604012361914e+02 
       7.005684155096e-01       1.587805890227e+02 
       7.037810498779e-01       1.571832709681e+02 
       7.069936843060e-01       1.556077045131e+02 
       7.102063187929e-01       1.540531096982e+02 
       7.134189533380e-01       1.525194734755e+02 
       7.166315879403e-01       1.510071290799e+02 
       7.198442225992e-01       1.495166028585e+02 
       7.230568573139e-01       1.480475589162e+02 
       7.262694920836e-01       1.465989985762e+02 
       7.294821269077e-01       1.451697380118e+02 
       7.326947617853e-01       1.437585805939e+02 
       7.359073967159e-01       1.423650323329e+02 
       7.391200316987e-01       1.409894738122e+02 
       7.423326667329e-01       1.396324035299e+02 
       7.455453018181e-01       1.382944811387e+02 
       7.487579369535e-01       1.369754477277e+02 
       7.519705721384e-01       1.356747229049e+02 
       7.551832073722e-01       1.343914357450e+02 
       8.255432283188e-01       1.100530981084e+02 
       9.275677450156e-01       8.450169546607e+01 
       1.089985525443e+00       5.832127255448e+01 
       1.346207830763e+00       3.560980586848e+01 
       1.692725413351e+00       2.065146819261e+01 
